episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
149999,22,0,8,0,28,DOWN,-1.0,1,8,0,27,0,42.132949,44.373978,42.930238,0.79729,42.292407,0.2,0.99,0.05
149999,23,1,8,0,27,RIGHT,-1.0,1,9,0,26,0,44.373978,42.174068,40.752327,-3.621651,43.649648,0.2,0.99,0.05
149999,24,1,9,0,26,RIGHT,-1.0,1,10,0,25,0,40.83711,49.541471,48.046056,7.208946,42.2789,0.2,0.99,0.05
149999,25,1,10,0,25,UP,49.0,0,10,1,24,0,49.541471,1.923053,50.903822,1.362351,49.813941,0.2,0.99,0.05
149999,26,0,10,1,24,DOWN,-1.0,1,10,1,23,0,1.923053,4.509318,3.464225,1.541172,2.231287,0.2,0.99,0.05
149999,27,1,10,1,23,DOWN,-1.0,2,10,1,22,0,4.509318,6.856332,5.787769,1.278451,4.765008,0.2,0.99,0.05
149999,28,2,10,1,22,DOWN,-1.0,3,10,1,21,0,6.856332,10.280069,9.177268,2.320936,7.320519,0.2,0.99,0.05
149999,29,3,10,1,21,RIGHT,-5.0,3,10,1,20,0,10.280069,16.06334,10.902706,0.622638,10.404596,0.2,0.99,0.05
149999,30,3,10,1,20,DOWN,-5.0,3,10,1,19,0,16.06334,4.590238,-0.455665,-16.519004,12.759539,0.2,0.99,0.05
149999,31,3,10,1,19,DOWN,-1.0,3,9,1,18,0,4.590238,-19.546323,-20.35086,-24.941097,-0.397982,0.2,0.99,0.05
149999,32,3,9,1,18,RIGHT,-1.0,3,10,1,17,0,-19.546323,-14.294895,-15.151946,4.394377,-18.667448,0.2,0.99,0.05
149999,33,3,10,1,17,DOWN,-1.0,4,10,1,16,0,-14.294895,-12.958285,-13.828702,0.466193,-14.201656,0.2,0.99,0.05
149999,34,4,10,1,16,DOWN,-1.0,5,10,1,15,0,-12.958285,-13.933321,-14.793988,-1.835703,-13.325426,0.2,0.99,0.05
149999,35,5,10,1,15,DOWN,-1.0,6,10,1,14,0,-13.933321,-7.497306,-8.422333,5.510988,-12.831123,0.2,0.99,0.05
149999,36,6,10,1,14,RIGHT,-1.0,6,11,1,13,0,-7.497306,1.071712,0.060995,7.558301,-5.985646,0.2,0.99,0.05
149999,37,6,11,1,13,RIGHT,-1.0,6,12,1,12,0,1.071712,-1.423433,-2.409199,-3.480911,0.37553,0.2,0.99,0.05
149999,38,6,12,1,12,RIGHT,-1.0,6,13,1,11,0,-1.423433,16.159319,14.997726,16.421159,1.860799,0.2,0.99,0.05
149999,39,6,13,1,11,DOWN,-1.0,7,13,1,10,0,16.159319,29.018402,27.728218,11.568899,18.473099,0.2,0.99,0.05
