episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
271,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
272,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
273,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
274,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
275,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
276,0.05,100.0,50,1,0,0,1,0,GOAL_REACHED
277,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
278,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
279,0.05,-45.0,50,0,4,1,1,0,ENERGY_DEPLETED
280,0.05,73.0,49,1,7,0,1,1,GOAL_REACHED
281,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
282,0.05,-56.0,50,0,9,0,1,0,ENERGY_DEPLETED
283,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
284,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
285,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
286,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
287,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
288,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
289,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
290,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
291,0.05,100.0,50,1,0,0,1,0,GOAL_REACHED
292,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
293,0.05,76.0,50,1,6,0,1,0,GOAL_REACHED
294,0.05,92.0,50,1,2,0,1,0,GOAL_REACHED
295,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
296,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
297,0.05,92.0,50,1,2,0,1,0,GOAL_REACHED
298,0.05,67.0,50,1,6,1,1,0,GOAL_REACHED
299,0.05,76.0,50,1,6,0,1,0,GOAL_REACHED
300,0.05,90.0,47,1,1,1,1,3,GOAL_REACHED
301,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
302,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
303,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
304,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
305,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
306,0.05,97.0,49,1,1,0,1,1,GOAL_REACHED
307,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
308,0.05,80.0,49,1,3,1,1,1,GOAL_REACHED
309,0.05,92.0,50,1,2,0,1,0,GOAL_REACHED
310,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
311,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
312,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
313,0.05,92.0,50,1,2,0,1,0,GOAL_REACHED
314,0.05,104.0,46,1,0,0,1,4,GOAL_REACHED
315,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
316,0.05,104.0,46,1,0,0,1,4,GOAL_REACHED
317,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
318,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
319,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
320,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
321,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
322,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
323,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
324,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
325,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
326,0.05,70.0,48,1,8,0,1,2,GOAL_REACHED
327,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
328,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
329,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
330,0.05,-48.0,50,0,6,0,1,0,ENERGY_DEPLETED
331,0.05,97.0,49,1,1,0,1,1,GOAL_REACHED
332,0.05,-61.0,50,0,8,1,1,0,ENERGY_DEPLETED
333,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
334,0.05,104.0,46,1,0,0,1,4,GOAL_REACHED
335,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
